Universal Intention Arts, Silver Thunderous Starlight Style, Evil Authority Form: Butterfly
Ripping Scholar Arts, Drift Style, Smashing Profound Unbounded Form: Temper-Concealing Buddhist Descent
Righteous Spread Arts, Boundless Merciful Deep Style, Illuminating Traceless Summit Form: Snakeform Cleaving Tundra
Malevolent Death Arts, Facing Final Demon Style, White Shroud Form: Triple Delights Soothing Jewel
Elusive Warmth Arts, Double Starlit Style, Charging Constellation Form: Chill
Dividing Burning Whirling Starvation Arts, Bloodthristy Governing Felling Style, Solar Obscure Bird Form: Drain-Crouching Rebounding Hands
Continuous Elegance Arts, Mirage Fertile Leniency Style, Nothingness Form: South
Demonic Bolt Arts, Solar Spread Style, Pear Form: Punch of Spearplay
Devouring Traditional Tearing Crusher Arts, Final Vajrapani Style, Fatal Vine Form: Sanctity of Mystery
Iron Coral Volcanoes Arts, Wild Halo Style, Diving Barrier Form: Giant Shadowless-Falling Staff
Luminous Infusion Arts, Necrotoxin Style, Gem Cosmos Form: Triple Scripture Shifting Kundali
Saving Dominating Calm Malignant Arts, Profound Assault Style, Empty Tree Form: Things
Rising Toxin Arts, Ghostly Sonic Blessed Style, Indestructible Repentant Spike Form: Six Linking Tea
Illuminating Unshakable Brilliant Flow Arts, Blooming Enlightenment Style, Feral Snake Form: Ruin of Sweetened
Cutting Formation Arts, Seeds Style, Blessed Slayer Form: Six Bowing Wisdom
Unparalleled Fox Arts, Solar Adaptive Poisonous Style, Soaring Nape Form: Venom Ending Tablet
Unforgiving Snake Arts, Unified Beasts Style, Exploding Return Form: Giant Taihua-Chopping Disinterment
Gallant Calamity Arts, Dirty Serene Bolt Style, Ethereal Great Titan Form: Triple Trio Chopping Barrier
Drunken Cobra Arts, Imperial Swords Style, Coral Harvest Form: Karma of the Harmonious Range
Elegant Basilisk Arts, Waning Sky Style, Mount Form: Angel
Continuous Tundra Arts, Unparalleled Soft Style, Augmented Kick Form: Hunyuan-Conquering Felling Mistveil
Flying Slicing Stream Arts, Shaft Style, Big Thaw Form: Five-Fold Pearl Binding Sound
Whirling Martial Diving Winds Arts, Intent Style, Blessed Elegance Form: Six Sacrificing Phaseless
Aureate Bear Arts, Blessed Wounding Karmic Style, Equine Chariot Form: Dual-Stroke Gathering Blossom
Deep Authority Arts, Southern Unshakable Dao Style, Leaves Form: Adaptive Chackra Aiming Embrace
Endless Autumn Arts, Ghostly Heaven Style, Roving Wolf Form: Five-Fold Nebula Transforming Patriarch
Gentle Sight Arts, Universal Repentant Protector Style, Crystalline Twin Shaft Form: Five-Fold Spearplay Biting Kick
Spectral Burning Wild Leaves Arts, Coastal Point Style, Prajna Form: Five-Fold Soul Leaping Crane
Current Fox Arts, Full Spiraling Obsidian Style, Crystalline Archery Form: Shatters Resisting Harmonies
Martial Crushes Arts, Drowned Style, Facing Man Form: Six Sharpening Radiance
Imperial Mobility Arts, Calm Majestic Style, Onyx Barrier Form: Darkwind-Carrying Repentant Goldenring
Graceful Substitution Arts, Bloody Spear Style, Aquatic Advanced Curse Form: Giant Sight-Drifting Otherness
Graceful Tai Arts, Ripping Creation Style, Bronze Spark Form: Breakthrough of the Brush
Snow Pine Arts, Shift Style, Invisible Breakout Form: Pure Kundali
Demonic Element Arts, Cutting Heritage Style, Astral Parallel Karmic Form: Cardinal Order
Rolling Advanced Ethereal Bite Arts, Moonlit Center Icy Style, Feral Rising Warrior Form: Rock
Elemental Assault Arts, Lunar Spectral Tablet Style, Throwing Tea Form: Dual-Battle Observing Tang
Calm Misty Arts, Lunar Healing Fate Style, Bloody Sun Form: Triple Vigor Unwavering United
Glacial Facing Graceful Thousands Arts, Stellar Nether Style, Great Salvation Form: Ladder Invigorating Resolve
Moonlit Earthen Apex Silent Arts, Feral Protective Remains Style, Breakout Form: Mobility of the Consuming Spear
Illusory Fairy Arts, Embracing Vitality Style, Stellar Glacier Form: Lightness of the Corvid Command
Skeletal Extended Shroud Arts, Living Center Style, Chill Form: Triple Elbow Twisting Elegance
Encompassing Exorcism Arts, Moonlit Yellow Cosmic Style, Solar Devastation Form: Six Rising Elements
Responsive Healing Treading Maiden Arts, Earthen Distinction Style, Dirty Sheet Form: Fate of Royal
Diving Feather Arts, Eternal Ancient Ghostly Style, Golden Tigers Form: Serene Ripple Ending Scale
Virtuous Windswept Arts, Heritage Style, Cardinal Legacy Form: Skills Confronting Void
Killing Spearplay Arts, Stealth Style, Bamboo Form: Lord-Biting Ancient Proud
Thunderous Man Arts, Cry Style, Killing Mindless Form: Bodhidharma of the Gentle Distinction
Corrupted Curse Arts, Waning Illusion Style, Descending Gate Form: Mystery Matching Shell
Soaring Indestructible Tide Arts, Nape Style, Charging Current Sun Form: Five-Fold Fall Twisting Crow
Divine Whip Arts, Riddle Style, Gallant Qintfade Form: Form of the Phaseless
Forged Self Arts, Featherweight Authority Style, Swarm Form: Grappling Palm Fighting Movement
Earthly Tiger Arts, Quick Venomous Bound Style, Traditional Frenzy Form: Dual-Scale Soaring Rage
Golden Scholar Arts, Unmatched Splitting Extended Style, Balanced Formless Snakeform Form: Repentant Cut Airsplitting Way
Unknowable Lightness Arts, Madness Style, Buddha Form: Sufferings of Hunyuan
Cold Extinguishing Repentant Poison Arts, Exploding Limitless Technique Style, Unknowable Calm Nullification Form: Night of Spirits
Southern Counter Arts, Drift Style, Crush Form: Nebula of Acala
Penetrating Tea Arts, Gentle Grace Style, Frosty Drowned Form: Warmaster-Attacking Protective Web
Icy Vedas Arts, Rivers Style, Aquatic Element Form: Dual-Warmaster Countering Ripple
Subduing Defense Arts, Cardinal Forest Style, Arching Sect Form: Wisdom Resonating Consonance
Unified Discipline Arts, Rebounding Dirty Burning Style, Old Quick Blaze Form: Rampage
Flying Warriors Arts, Twin Pure Martial Style, Veil Form: Five-Fold Condor Steeled West
Augmented Unparalleled Drunken Emptiness Arts, Lunar Dance Style, Infernal Song Form: Dual-Root Rises Trial
Magnanimous Prism Arts, Path Style, Emerald Warfield Form: Triple Element Poking Crush
Twin Basic Forest Arts, Liberated Dirty Arhat Style, Ascending Timberfall Form: Triple Road Emerging Stab
Augmented Killing Frenzy Arts, Endless Crows Style,  Ash Form: Giant Eagle-Biting Saint
Spiraling Whirling Quick Graypine Arts, Coral Ascent Style, Vile Assimilation Form: Beasts of the Archery
Emerald Galaxy Arts, Arm Style, Chaotic Destructive Star Form: Five-Fold Emptiness Revitalizing West
Wicked Azure Light Arts, Dirty Dipper Style, Old Primordial Dive Form: Giant Sisi-Summoning Projectile
Dominating March Arts, Wicked Monkey Style, Riding Claw Form: Giant Pearlflower-Blazing Trigrams
Flying Triadic Arts, Northern Warmaster Style, Intoxicated Depth Form: Continuous Waltz Leaping Hell
Solar Commander Arts, Stellar Deep Capped Style, Mirage Bolt Form: Crushes of Phoenix
Unrivaled Priest Arts, Extreme Unbounded Style, Majestic Form: Latch of Breaker
Parallel Shower Arts, Underworld Style, Cardinal Unity Form: Instance-Cleaving Lunar Fox
Rolling Equine Ceremony Arts, Scholar Style, Legged Emergence Form: Immortal Thrust Draining Mirror
Formless Elegant Grand Shout Arts, Ravenous Lotus Style, Basic Volcanoes Form: Healing Surface
Foundational Sheet Arts, Moonbeam Style, Spiraling Blood Form: Flameball of Reguard
Foxform Southern Downward Stealth Arts, Overwash Style, Grappling Manifestation Form: Space Revitalizing Polearm
Repentant Martial Battle Arts, Expansive Full Wood Style, Violent Hell Form: Leaves-Sleeping Divine Grove
Abyssal Wing Arts, Protective Heartless Suffering Style, Absolute Unshakable Rotation Form: Six Paralyzing Crown
Featherweight Onyx Rolling Brook Arts, Sealing Commander Style, Spiritual Lunar Thread Form: Specter of the Binder
Burning Sheet Arts, True Foundation Style, Encompassing Discipline Form: Bear of the Mystic Thunder
Bright Perfect Few Orthodox Arts, Gale Style, Pack Form: Six Ending Emptiness
Pure Polar Arts, Full Charge Style, Radiant Wood Form: Dual-Paradise Bowing Trio
Grounded Red Battle Arts, Endless Burst Style, Cold Spiraling Transformation Form: Spark of the Repentant Net
Repentant Erupting Nape Arts, Ascent Style, Ancient Starlit Form: Triple Rends Feinting Veil
Empty Coil Arts, Drunken Root Style, Forms Form: Shell
Eternal Wind Arts, Unrivaled Stride Style, Featherweight Enemies Form: Torment of the Shell
Calm Coastal Mighty Tongue Arts, Illuminating Bind Style, Roving Cry Form: Manifestation of the Cursed Drowned
Final Height Arts, Crazy Nefarious Radiance Style, Shroud Form: North of Bone
Hidden Redemption Arts, Destiny Style, Cawing Cut Form: Crimson Eruption
Apex Spiritage Arts, Obsidian Old Embracing Style, Infinite Otherness Form: Throwing Nape
Emerald Crossing Crane Arts, Touch Style, Soaring Lord Form: Crazy Scriptures
Hellish Serene Leniency Arts, Invisible Pearlflower Style, Eternal Governing Kick Form: Shatter Bowing Waters
Wandering Spark Arts, Cosmic Embrace Style, Absolute Priest Form: Sonata of the Repelling Palm
Burning 56th Indestructible Snowfall Arts, Ancient Limitless Breaker Style, Bloodstained Pattern Form: Six Searching Buddha
Striking Formation Arts, Descending Bite Style, Buddhist Hidden Flame Form: Five-Fold Court Taking Book
Devastating Enemies Arts, Infinite Road Style, Blooming Wisdom Form: Origin of the Crimson Weaver
Foxform Phenomena Arts, Finishing Shadow Dancing Style, Responsive Cascade Form: Hand of the Substitution
Crossing Coral Merciful Infusion Arts, Saving Reaction Style, Celestial Dark Scripture Form: Pack Vispering Horse
Snow Gorge Arts, Principles Style, Ripping Staff Form: Calm Circle
Aureate Taming Arts, Fiendish Bloodstained Meridian Style, Fatal Goldenring Form: Six Countering Galaxy
Heartless Lofty Arts, Blazing Weapon Style, Destructive Needle Form: Spiritage of the Kindled
Downward Cross Arts, Spirit Sealing Arhat Style, Penetrating Palms Form: Master Crouching Execution
Indestructible Incineration Arts, Traditional Sharpened Style, Emergence Form: Giant Pyre-Dispersing Crown
Healing Wind Arts, Rolling Trident Style, Grasp Form: Absorption-Fighting Poisonous Cobra
Frosty Curse Arts, Finger Style, Elusive Slayer Form: Remains-Rising Empty Brush
Elegant Shade Arts, Exploding Malevolent Dance Style, Suffering Form: Triple Assaliants Traversing Cut
Martial Tipsy Arts, Calm Thousands Style, Legged Shockwave Form: Unparalleled Rotation Emerging Array
Lunar Spearplay Arts, Ghostly Asterism Style, Grappling Wounding Pack Form: Nape
Eastern True Infernal Motion Arts, Countless Might Style, Fiendish Hidden Sufferings Form: Repents Crushing Daoist
Birthless Vigor Arts, Range Style, Gentle Grafting Perfusion Form: Unbounded Transforming Massacre
Ghostly Coastal Quake Arts, Outward Intoxicated Poison Style, Chaotic Spread Form: Sutra Sharpening Latch
Many Principles Arts, Cliff Style, Striking Lightness Form: Dual-Decree Going Binder
Evil Sun Arts, Wandering Shield Style, Universal Venom Form: Six Transforming Tranquil
Encompassing Taihua Arts, Sealing Penetrating Riding Style, Ancient Trigrams Form: Dual-Scripture Transforming Illusion
Defensive Ripping Wolf Arts, Infernal Augmented Blade Style, Man Form: Prajna of Triple
Foundational Noble Arts, Mystic Canyon Style, Encompassing Shaolin Form: Triple Heaven Dodging Bodhidharma
Southern Acala Arts, Limitless Noble Style, Vigor Form: Giant Cutter-Tangled Walk
Final Domination Arts, Fatal Sonic Big Style, Devastating Scale Form: Poison
Golden Leniency Arts, Virtuous Dark Pierces Style, Liberated Nape Form: Asterism of the Night
Corvid Staff Arts, Coastal Thunderclap Style, Parallel Sinister Form: Variation Descending Ladder
Copper Phoenix Arts, Fading Double Constellation Style, Treading Equal Drift Form: Demonic Toxin
True Hands Arts, Crusher Style, Spanning Bat Form: Water of the Hellish Crown
Traversing Soaring Mighty Prestissimo Arts, Enlightened Starlit Style, Spinning Canyon Form: Dirty Road Coiling Motion
Tidal Shroud Arts, Hoarforst Style, Venom Form: Radiance-Flowing Facing Realm
Tearing Ripping Slashes Arts, Venomous United Style, Traditional Crows Form: Dual-Trial Commanding Battalion
Penetrating Primordial Chackra Arts, Judgment Style, Earthly Warmth Form: Five-Fold Swing Traveling Unveiled
True Kill Arts, Sweeping Drunken Harmony Style, Petal Instance Form: Shatter
Merciful Infernal Lattice Arts, Current Descent Style, Calm Many Change Form: Rising Rain Swirling Battle
Mighty Red Pillar Arts, Big Gate Style, Holy Kindled Form: Giant Thrust-Vispering Temple
Aureate Treading Great Steel Arts, Moon Style, Dirty Parallel Form: Moonlit Sound
Imperial Perfect Heavenhold Arts, Grafting Sutra Style, Heaven Form: Scripture of Tremor
Extended Curse Arts, Roving Kick Style, Copper Grasp Form: Giant Tranquil-Leaping Bow
Black Icy Cold Sage Arts, Grounded Brook Style, Taming Form: Dual-Center Covering Illuminated
Emerald Void Arts, Demonic Mobility Style, Subduing Torment Form: Nomad of the Devastating Raven
Living Elusive Glow Arts, Capped Lower Ancient Style, Vile Smoke Form: Tail
Moonlit Dark Balanced Pear Arts, Raven Style, Ceremony Form: Indestructible Emergence
Midsummer Tai Arts, Continuous Malevolent Corrupted Style, Few Dividing Salvation Form: Triple North Bowing Legs
Gentle Book Arts, Corvid Southern Chaotic Style, Striking Center Quanzhen Form: Limbo Blowing Soul
Big Cinder Arts, Subduing Quick Monkey Style, Sun Form: Barrage of the Manifestations
Cardinal Mothers Arts, Riding Scarlet Style, Dual Harmonious Shadowy Form: Winds
Black Few Burning Annihilation Arts, Spinning Lofty Style, Prelude Form: Triple Slayer Going Pear
Virtuous Chop Arts, Throw Style, Extended Triangle Form: Triple Frost Tangled Elbow
Blooming Treading Distinction Arts, Boxing Mind Style, Reaper Form: Veil Resonating Deity
Killing Sonic Discipline Arts, Birthless Pillar Style, Foxform Leaf Form: Subduing Limbo
Jade God Arts, Dark Shadowy Style, Snow Bloodthristy Sand Form: Surface
Equal Feather Arts, Yellow Soft Style, Righteous Ceremony Form: Kings Rising Myriads
Malevolent Mirror Arts, Movement Style, Lunar Nothingness Form: Five-Fold Pattern Drifting Prajna
Grand White Enlightened Soft Arts, Coral Frenzy Style, Essence Form: Deities of the Profound Song
Extreme Encompassing Icy Plume Arts, Equal Devil Style, Equine Deities Form: Six Blazing Rage
Demonic Unrivaled Taiji Arts, Frozen Coated Roar Style, Obscure Void Surge Form: Giant Bodhidharma-Flowing Turtleback
True Winter Arts, Exploding Rage Style, Assault Form: Emptiness-Twisting Enlightened Stalwart
Tearing Snowfall Arts, Indestructible Riddle Style, Legged Repentant Domination Form: Veil Observing Mindscape
Dark Full Outward Galaxy Arts, Unknowable Emerald Goldsaber Style, Shattering Pierce Form: Triple Army Stealing Trio
Consuming Return Arts, Evil Finger Style, Empty Gust Form: Resonance
Flying Grappling Slayer Arts, Outward Pearl Style, Violent Blessing Form: Unbounded of the Intoxicated Hexablaze
Aquatic Spirits Arts, Undivinable Monkey Style, Intoxicated Featherweight Hydra Form: Giant Defiers-Binding Principles
Bloodstained Manifestation Arts, Snow Fatal Domain Style, Radiant Unified Fortress Form: Rivers of the Shattering Fox
Unknowable Shooting Corrupted Vajrapani Arts, Double Icy Spinning Style, Facing Overwash Form: Triple Repents Attacking Crash
Roving Unshakable Cutter Arts, March Style, Shattering Elegance Form: Dance of Flames
Celestial Harvest Arts, Aureate Touch Style, Final Tongue Form: Giant Sisi-Fighting Polar
Sudden Titan Arts, Obsidian Dragontail Style, Graceful Moonlit Formation Form: Illusion of the Rebounding Center
Aquatic Nebula Arts, Stellar Perfect Poisonous Style, Consecutive Mindless Form: Pounce of the Secret Way
Azure Slayer Arts, Soaring Chaos Style, Void Pearlflower Form: South Resonating Scheme
Extinguishing Jade Vine Arts, Center Mysterious Roar Style, Dual Energy Form: Blooming Prestissimo Sacrificing Reflection
Abyssal Flameball Arts, True Fiendish Pounce Style, Mad Prayer Form: Giant Wraith-Breaking Lightning
Center Ethereal Glacier Arts, Shattering Violent Darkwind Style, Extreme Lord Form: Triple Poisons Gathering Moonbeam
Intoxicated Stance Arts, Fatal Perfusion Style, Endless Woods Form: Sufferings of Clarity
Boxing Bird Arts, Extended Cosmic Descending Style, Formless Commander Form: Five-Fold Destroyer Crouching Devastation
Red Wing Arts, Skeletal Pulse Style, Lower Demon Form: Sinister of Vajrapani
Felling Radiance Arts, Profound Trill Style, Absolute Legs Form: Harmony Swirling Lightness
Fiery Pinnacle Arts, Apex Distinction Style, Vile Nomad Form: Triple Discipline Unwavering Pyrocascade
Heartless Throwing Fiery Wall Arts, Demonic Soaring Empty Style, Riding Bodhidharma Form: Giant Hands-Aiming Brook
Corrupted Kindled Arts, Corvid 10 Fold Mount Style, Defensive Command Form: Gate
Erupting Wave Arts, Mysterious Mind Style, Equine Rampage Form: Giant Basilisk-Carrying Finger
Iron Delights Arts, Bloodstained Toss Style, Devil Form: Beggar-Airsplitting Shadow Beasts
Adamantine Golden Sylvan Arts, Starvation Style, Cold Pulse Form: Triple Stealth Descending Starlit
Indestructible Corrupted Motion Arts, Rising Wildfire Style, Endless Suffering Form: Triple Family Piercing Reflection
Crazy Blazing Devouring Mastery Arts, Spiritual Dive Style, Ultimate Strength Form: Dual-Bird Binding Swing
Moonlit Chin Arts, Countless Yin Style, Twin Patriarch Form: Giant Repents-Slicing Soul
Rolling Liberated Infernal Kill Arts, Frosty Abyssal Web Style, Birthless Total Form: Icy Calamity Fighting Rends
Shattering Fate Arts, Celestial Rotation Style, Divinities Form: Five-Fold Lofty Emerging Ghost
Vermillion Healing Cave Arts, Obsidian Momentum Style, Mirror Form: Giant Ascent-Defending Triple
Foxform Pulse Arts, Extra Dao Style, Metallic Assaliants Form: Unity Reflecting Things
Shooting Block Arts, Infernal Boulder Style, Fertile Whip Form: Five-Fold Skill Lunging Beasts
Ravenous Hidden Feral Finger Arts, Cliff Style, Universal View Form: Six Soothing Chariot
Crazy Ember Arts, Crossing Traversing Giant Style, Rightful Script Form: Dual-Crash Poking Nebula
Onyx Saving Hand Arts, Divinities Style, Touch Form: Contemplate Rising Pyrocascade
Brilliant Kings Arts, Treading Boundless Kill Style, Ravenous Fate Form: Windrider of the Absolute Asura
Shooting River Arts, Protective Ruin Style, Enlightened Light Form: Eagle-Fighting Crystalline Thrust
Felling Beggar Arts, Earthly Waning Shadow Style, Striking Moonlight Form: Primordial Void Stealing Sand
Rightful Mystic Storm Arts, Saving Trident Style, Wanderer Form: Five-Fold Volcano Confronting Touch
Crazy Precept Arts, Dividing Firebrand Style, Big Shield Form: Buddha-Searching Empty Might
Vermillion Splitting Hands Arts, Obsidian Throw Style, Polar Form: Dual-Jeweled Leaping Ape
Sudden Daoist Arts, Wild Silver Dancing Style, Penetrating Bat Form: Six Soaring Martyr
Outward Leaf Arts, Liberated Taiji Style, Mountian Form: Cry-Summoning Crimson Sweetened
Red Sealing Absolute Shaft Arts, Dirty Foundational Fleeting Style, Mad Parallel Form: Six Resting Quell
Fiendish Heritage Arts, Grappling Silver Sonata Style, Ghostly Countless Chop Form: Wrath of the Wolf
Fertile Solar Striking Movement Arts, Consuming Defiers Style, Dancing Merciful Bind Form: Space
Pure Temper Arts, Midsummer Calm Elder Style, Hidden Posture Form: Sonata Attacking Lightness
Profound Fox Arts, Empty Misty Style, True Authority Form: Consuming Posture
Elemental Equine Stunning Domination Arts, West Style, Fertile Hail Form: Triple Barrage Aiming Sage
Malevolent Mountain Arts, Equine Cold Center Style, Coral Thousand Form: Five-Fold Sisi Matching Transparency
Parallel Claw Arts, Adaptive Cardinal Deflection Style, Whale Form: Triple Calamity Stealing Disinterment
Rightful Fatal Grappling Step Arts, Form Style, Golden Neck Form: Shapeshifter
Advanced Obsidian Defensive Intent Arts, Formless Tortoise Style, Dark Traversing Triangle Form: Calamity of the Moonlit Moonbeam
Dark Astral March Arts, Deep Boxing Aegis Style, Aquatic Chill Form: Distinction of the Refraction
Balanced Scripture Arts, Mighty Trill Style, Unrivaled Indestructible Triple Form: Six Reflecting Cry
Black Ice Arts, Expansive Parallel Style, Center Trial Form: Tearing Range
Graceful Chill Arts, Absolute Disruption Style, Mysterious Stun Form: Frosty Possession Traveling Bodhi
Ghostly Mystic Ascent Arts, Indestructible United Style, Diving Crusher Form: Six Fighting Silent
Copper Mirage Foxform Stance Arts, Protective Nail Style, Pure Veil Form: Giant Devastation-Invigorating Shaft
Violent Omnidirectional Arts, Cursed Monkey Style, Ruin Form: Jade Weaver Counterattacking Footstep
Healing Holy Merciful Soar Arts, Slayer Style, Ape Form: Brook of the Thrust
Throwing Extended Elements Arts, Feral Fury Style, Erupting Legacy Form: Ghostly Void
Big Few Lightweight Arts, Traceless Birthless Northern Style, Binder Form: Giant Starlit-Piercing Vedas
Rolling Moonlight Arts, Spiritual Cremation Style, Center Noble Form: Dual-Descent Swirling Volley
Traversing Unforgiving Spirits Arts, Dividing Rightful Remains Style, Stream Form: Enemies
Copper Hidden Jewel Arts, Expansive Elements Style, Obscure Yang Form: Posture of the Birthless Cut
Poisonous Road Arts, Lunar Hidden Fleeting Style, Summit Form: Scheme
Double Fiery Spirits Arts, Drunken Reaper Style, Fertile Cosmic Chain Form: Dao Confronting Zen
Traceless Sacred Invisible Way Arts, Chariot Style, Crossing Harmonies Form: Shout-Aiming Soaring Quartet
Cutting Frontier Arts, Penetrating Ape Style, Celestial North Form: Heavenly Omnidirectional Falling Warmaster
Dirty Magnanimous Weaver Arts, Final Shattering Boulder Style, Waxing Waltz Form: Destroyer of the Cutting Neck
Blooming Ladder Arts, Enemies Style, Rolling Giant Chackra Form: Five-Fold Martyr Shifting Illuminated
Mad Rends Arts, Arching Illuminated Style, Consecutive Waters Form: Six Transforming Moonlight
Dividing Killer Arts, Hidden Remains Style, Enlightened Veiled Form: Advent of the Flower
Basic Penetrating Distinction Arts, Archery Style, Elegant Final Smoke Form: Thunderwake of the Cosmos
Repelling Nefarious Yellow Darkwind Arts, Dual Self Style, Feral Bodhi Form: Five-Fold Blood Slicing View
Dual Pyre Arts, Waning Song Style, Eternal Book Form: Extinguishing Flameball
Rising Embracing Beam Arts, 64 Fold Traditional Primordial Style, Skill Form: Five-Fold Vitality Flowing Advent
Foxform Descent Arts, Ghostly Neck Style, Responsive March Form: Dual-Bodhi Surging Constellation
Extinguishing Salvation Arts, Traversing Encompassing Temple Style, Stunning Sea Form: Buddhist Reaper Carrying Origin
Waxing Elements Arts, Copper Snowfield Style, Illuminating Trinity Form: Foundational Halo
Lower Martial Omnidirectional Arts, Skull Style, Embracing Return Form: Dual-Resonance Bowing North
Apex Spearplay Arts, Evil Ember Style, Ripping Leap Form: Five-Fold United Scorching Kings
Spirit Technique Arts, Elemental Spearplay Style, Mysterious Body Form: Five-Fold Stealth Defending Toil
Unmatched Delights Arts, Black Prelude Style, Slip Form: Army
Indestructible Dark Rightful Sword Arts, Toxic True Ancient Style, Treading Meridian Form: Forged Element Vispering Asura
Subduing Grounded Cry Arts, Foxform Invisible Chariot Style, Grappling Sanctum Form: Fortress
Boundless Aureate Drunken Realm Arts, Blaze Style, Defense Form: Disinterment
Facing Fleeting Bow Arts, Consuming Cage Style, Mysterious Prism Form: Karmic of the Augmented Darkwind
Perfect Hydra Arts, Imperial God Style, Reaper Form: Timberfall-Resisting Subduing Fortune
Serene Ember Arts, Unforgiving Ash Style, Penetrating Kick Form: Giant Zenith-Transforming Rage
Shooting Gust Arts, Fiery Origin Style, Unified Signless Form: Dual-Thunderclap Following Waltz
 Bloodthristy Smoke Arts, Spiritual Infernal Kaleidoscope Style, Mysterious Elements Form: Fox-Flowing Hellish Kings
Violent Starvation Arts, Indestructible Fairy Style, Sealing Raptor Form: Necrotoxin
Fleeting Earth Arts, Reaction Style, Twin Principles Form: Six Evading Shroud
Soaring Storm Arts, Poisonous Cultivation Style, Gallant Thunder Form: Giant Grasp-Breaking Charge
Twin Western Blossoms Arts, Extreme Advanced Warfield Style, Penetrating Mastery Form: Scatter-Blowing Throwing Radiance
Descending Exploding Cardinal Crusher Arts, Distinction Style, Pure Ascending Gate Form: Six Flowing Surge
Frosty Thrust Arts, Rebounding Temper Style, Poisonous Cry Form: Unrestrained-Twisting Wild Nebula
North Domination Arts, Spanning Creation Style, Throwing Profound Thaw Form: Triple Embrace Taking Delights
Western Ultimate Ascending Metal Arts, Traceless Mindscape Style, Continuous Omnidirectional Form: Crossing Commander Dispersing Signless
Gentle Twin Traceless Balance Arts, Consecutive Fish Style, Drunken Metallic Harmony Form: Hands of the Pierces
Primordial Exploding Foundational Bamboo Arts, Splitting Shade Style, Spanning Sage Form: Throwing Soft Freezing Fall
Foundational Trio Arts, Azure Indestructible Ember Style, Malevolent Ape Form: Dual-Self Stealing Frontier
Perfect Blossoms Arts, Tea Style, Fiery Nether Form: Dual-Defiers Biting Flight
Arching Thundershock Arts, Heartless Sonic Swords Style, Saving Perfect Acala Form: Touch-Concealing Extinguishing Battalion
Sweeping Venomous Taiji Arts, Illusory Iron Breaker Style, Martial Hands Form: Six Airsplitting Buddha
Featherweight Diving Court Arts, Skeletal Spinning Double Style, Fertile Windrider Form: Vitality-Commanding Equine Ghost
Extended Immortal Limitless Arm Arts, Cutting Jewel Style, Western Crane Form: Giant Beggar-Gathering Assaliants
White Eternal Illuminated Arts, Descending Blessing Style, Primordial Adaptive Tong Form: Five-Fold Suffering Swirling Stalwart
Ethereal Living Grand Claw Arts, Cawing Emergence Style, Rebounding Swan Form: Five-Fold Legacy Searching Moonlight
Iron Skills Arts, Illuminating Sharpened Style, Sudden Strike Form: Paradise of Tiger
Spectral Shattering Final Constellation Arts, Protective Fist Style, Saving Phenomena Form: Beak of the Cutter
Waning Steps Arts, Illuminating Incineration Style, Martial Poison Form: Tempo
Unforgiving Move Arts, Single Tai Style, Copper Venom Form: Triple Demon Soothing Sections
Aureate Surge Arts, Poisonous Wild Chin Style, Unknowable Drain Form: Giant Opposition-Ascending Deities
Absolute Crazy Weaver Arts, Serene Limitless Foxform Style, Center Dragon Form: Indestructible Distinction
Spiritual Traceless Arts, Finger Style, Parallel Noble Form: Five-Fold Energy Scorching Lightning
Holy Petal Awakening Arts, Giant Ravenous Spearplay Style, Posture Form: Point Freezing Enemy
Unified Waters Arts, Rightful Cry Style, Ravenous Stance Form: Dual-Hawk Stabbing Sanctity
Spiraling Crystalline Crazy Move Arts, Rising Bodhidharma Style, Fall Form: Triple Heavenhold Cutting Cove
Gem Quick Arts, Boxing Full Roving Style, Essence Form: Six Lunging Whip
Continuous Consuming Outward Waltz Arts, Unknowable Energy Style, Feral Realm Form: Six Chopping Arrow
Erupting Dragon Arts, Center Spectral Dominating Style, Obsidian God Form: Six Concealing Warrior
Mystic Fish Arts, Giant Aura Style, Subduing Flash Form: Starlight of the Cutting Grip
Sudden Expansive Crimson Bear Arts, Earthly Trinity Style, Grand Salvation Form: Move-Gathering Destructive Clarity
Featherweight Stalwart Arts, Violent Demonic Eastern Style, Intoxicated Apex Jeweled Form: Return of the Crimson Dive
Demonic Onyx Primordial Daybreak Arts, Cosmic Full Augmented Style, Cuts Form: Earthquakes of the Coral Frost
Venomous Copper Metallic Vapor Arts, Fiery Silent Style, Shooting Stunning Dance Form: Saber of the East
Center Exorcism Arts, Spirit Bright Wisdom Style, Quick Equine Scripture Form: Triple Sacrificing Thousands
Ultimate Sealing Quell Arts, Stunning Living Brilliant Style, Violent Rectitude Form: Twin Cloak Falling Torment
Responsive Adaptive Absolute Myriads Arts, Shapeshifter Style, Spiritual Bind Form: Hawkstrider of the Tortoise
Destructive Saint Arts, Extended Sheet Style, Foundational Constellation Form: Commander of Shockwave
Petal Black Flame Arts, Waxing Unshakable Limbo Style, Penetrating Nefarious Cobra Form: Harmony
Consuming Downward Calm Quartet Arts, Extended Chaotic Chackra Style, Corrupted Talon Form: Manipulation Gathering Spring
Bloody Formless Mirage Spin Arts, Sudden Nails Style, Aureate Fox Form: Primordial Cuts Aiming Reflection
Cardinal Gem Spring Arts, Big Glow Style, Traversing Sweeping Charge Form: Eastern Arrow Blooming Trinity
